project_id,mp_name,state,constituency,district,work_name,work_category,recommendation_date,sanction_date,start_date,estimated_cost_lakh,sanctioned_amount_lakh,expected_completion_date,actual_completion_date,status,agency_id,vendor_id,latitude,longitude,planned_progress_pct,physical_progress_pct,expenditure_lakh,prototype_anomaly_seed
MPL-0052,MP-500,Gujarat,Constituency-112,District-18,Community Hall Project 0052,Community Hall,2026-03-22,2026-03-28,2026-03-28,57.87,57.38,2027-03-02,2027-02-11,Completed,AG016,V034,22.834776,74.307767,81.84709107928802,88.59860048373767,40.47879889961482,estimate_revision
MPL-0053,MP-442,Uttar Pradesh,Constituency-019,District-08,Water Supply Project 0053,Water Supply,2026-04-01,2026-04-22,2026-04-22,62.75,62.59,2026-11-13,2027-01-02,Completed,AG024,V012,27.912176,78.135767,40.52789821775496,22.46061733596995,45.76730049741848,financial_physical_mismatch
MPL-0054,MP-477,Gujarat,Constituency-116,District-10,School Infrastructure Project 0054,School Infrastructure,2026-05-11,2026-06-06,2026-06-06,52.62,49.8,2027-03-10,2027-06-06,Completed,AG006,V011,23.256776,69.714667,85.20559588129552,100.0,24.621590813091807,sudden_progress_jump
MPL-0055,MP-303,Tamil Nadu,Constituency-090,District-10,Sports Facility Project 0055,Sports Facility,2026-06-21,2026-06-26,2026-06-26,40.89,38.98,2027-02-25,2027-04-29,Completed,AG010,V055,10.428463,77.914276,89.96554610250985,96.73892619303392,11.948392512985524,estimate_revision
MPL-0056,MP-100,Uttar Pradesh,Constituency-116,District-21,Road Project 0056,Road,2026-05-11,2026-06-05,2026-06-05,67.96,69.27,2027-04-08,,Ongoing,AG019,V007,28.684776,77.467767,77.66575387818594,12.851979839156323,5.720419397072766,low_expenditure
MPL-0057,MP-169,Maharashtra,Constituency-033,District-30,Sports Facility Project 0057,Sports Facility,2026-01-04,2026-01-24,2026-01-24,31.52,30.44,2026-10-06,2027-01-31,Completed,AG012,V017,21.314776,80.247767,46.04371370575419,51.34699554842531,21.750114098787574,estimate_revision
MPL-0058,MP-271,Tamil Nadu,Constituency-069,District-04,Community Hall Project 0058,Community Hall,2026-01-18,2026-02-06,2026-02-06,69.93,69.91,2026-10-01,,Ongoing,AG015,V010,10.805276,78.752467,88.89682335300469,98.1767577936054,47.28932276254306,estimate_revision
MPL-0059,MP-419,Uttar Pradesh,Constituency-015,District-05,Sports Facility Project 0059,Sports Facility,2026-01-22,2026-01-28,2026-01-28,24.84,22.92,2027-01-15,2026-12-20,Completed,AG013,V048,27.191476,78.055867,83.63291648681687,10.948255617402932,3.6007594050029783,low_expenditure
MPL-0060,MP-425,Madhya Pradesh,Constituency-084,District-04,Community Hall Project 0060,Community Hall,2026-04-28,2026-05-18,2026-05-18,35.98,34.57,2026-12-18,,Ongoing,AG004,V031,26.233076,78.230567,87.2159422626548,90.53859007868272,18.539960920499134,normal
MPL-0061,MP-408,Uttar Pradesh,Constituency-036,District-07,Road Project 0061,Road,2026-02-17,2026-02-25,2026-02-25,40.02,37.86,2026-12-15,2026-08-19,Completed,AG023,V048,28.381776,79.478167,54.94773213166374,64.52814193479321,16.835869810212724,normal
MPL-0062,MP-222,Karnataka,Constituency-105,District-28,Water Supply Project 0062,Water Supply,2025-12-25,2026-01-06,2026-01-06,64.65,61.21,2026-07-17,,Ongoing,AG021,V077,16.594776,77.187767,41.92581369194236,42.34652916191755,17.528302550820776,normal
MPL-0063,MP-332,West Bengal,Constituency-003,District-06,Road Project 0063,Road,2026-01-21,2026-02-03,2026-02-03,26.05,24.47,2026-12-18,,Ongoing,AG009,V019,23.247176,87.909267,71.35817034285242,59.92533363814879,6.310225069887786,normal
MPL-0064,MP-032,Bihar,Constituency-008,District-16,Community Hall Project 0064,Community Hall,2026-04-15,2026-05-02,2026-05-02,64.02,62.51,2027-02-20,2027-02-03,Completed,AG024,V009,24.894776,86.967767,40.99797055021151,33.01422090754873,55.8461953088135,financial_physical_mismatch
MPL-0065,MP-518,Madhya Pradesh,Constituency-078,District-14,Community Hall Project 0065,Community Hall,2026-03-16,2026-03-24,2026-03-24,18.68,17.44,2027-02-22,2026-12-25,Completed,AG029,V011,22.764776,77.767767,69.33746218546644,70.2154853335251,10.942570727927642,estimate_revision
MPL-0066,MP-486,Bihar,Constituency-009,District-03,Water Supply Project 0066,Water Supply,2026-02-21,2026-02-28,2026-02-28,32.4,31.42,2026-12-10,2026-09-15,Completed,AG014,V058,25.257276,87.031967,57.87943076438224,47.97131922844611,14.96173029066123,normal
MPL-0067,MP-295,Tamil Nadu,Constituency-077,District-10,School Infrastructure Project 0067,School Infrastructure,2026-05-15,2026-05-31,2026-05-31,48.44,48.13,2027-04-19,,Ongoing,AG018,V008,10.334793,77.875213,57.5944748107187,64.8138369998737,36.039687711564646,normal
MPL-0068,MP-274,Gujarat,Constituency-004,District-06,Drainage Project 0068,Drainage,2026-03-18,2026-03-31,2026-03-31,34.46,34.59,2027-02-16,,Ongoing,AG008,V014,22.485476,70.105467,66.57550023823045,72.33437040358203,24.141476026084398,normal
MPL-0069,MP-430,Tamil Nadu,Constituency-059,District-11,Health Facility Project 0069,Health Facility,2026-01-27,2026-02-06,2026-02-06,55.33,51.33,2026-12-27,,Under Review,AG001,V024,11.762776,79.819167,75.75329825151309,85.1331252641895,15.32875859172788,normal
MPL-0070,MP-280,West Bengal,Constituency-028,District-25,Sports Facility Project 0070,Sports Facility,2026-01-19,2026-02-09,2026-02-09,62.32,57.68,2026-09-17,,Under Review,AG003,V007,22.159314,88.113126,39.48698401425523,37.2354694495224,27.38230121997351,normal
MPL-0071,MP-008,Uttar Pradesh,Constituency-064,District-24,Sports Facility Project 0071,Sports Facility,2026-06-02,2026-06-20,2026-06-20,11.27,10.86,2027-03-05,2026-12-27,Completed,AG016,V068,29.964776,77.597767,67.96287263194478,12.058522078859903,0.9037424357774962,low_expenditure
MPL-0072,MP-428,Rajasthan,Constituency-038,District-04,Public Library Project 0072,Public Library,2026-01-02,2026-01-19,2026-01-19,70.05,64.77,2026-10-27,,Under Review,AG018,V046,28.037676,73.359667,36.03078451221052,44.29635807126359,45.78709875827637,normal
MPL-0073,MP-342,West Bengal,Constituency-100,District-06,Drainage Project 0073,Drainage,2026-01-16,2026-01-23,2026-01-23,68.8,65.14,2026-11-10,2026-08-27,Completed,AG027,V047,23.299274,87.840814,67.38792085666014,66.91509680267404,29.948528595710982,payment_milestone_issue
MPL-0074,MP-182,Bihar,Constituency-099,District-21,Water Supply Project 0074,Water Supply,2026-03-11,2026-03-31,2026-03-31,66.68,63.08,2027-03-11,,Ongoing,AG029,V045,26.164776,87.517767,43.05443200527319,35.394411667400824,35.909643835246584,normal
MPL-0075,MP-282,West Bengal,Constituency-076,District-02,Drainage Project 0075,Drainage,2026-05-29,2026-06-14,2026-06-14,79.03,75.52,2027-05-22,2027-06-12,Completed,AG022,V073,22.610576,88.311367,88.40351853144881,83.35857421024157,36.48177058177291,normal
MPL-0076,MP-461,Madhya Pradesh,Constituency-117,District-26,Road Project 0076,Road,2026-02-20,2026-03-15,2026-03-15,54.42,55.92,2026-09-30,,Ongoing,AG002,V048,24.247571,82.618648,39.966307720731656,41.0360637305748,25.375137847960463,normal
MPL-0077,MP-373,Madhya Pradesh,Constituency-048,District-30,Public Library Project 0077,Public Library,2026-04-12,2026-04-26,2026-04-26,66.39,67.19,2026-11-18,,Ongoing,AG005,V008,22.064776,75.947767,89.03120696013686,31.275299199435413,61.69367017232888,financial_physical_mismatch
MPL-0078,MP-342,West Bengal,Constituency-011,District-19,Road Project 0078,Road,2025-12-22,2026-01-17,2026-01-17,14.8,14.72,2026-10-08,,Ongoing,AG026,V043,23.184776,86.417767,50.62808356329626,54.55022397335041,8.802250376539986,normal
MPL-0079,MP-434,Telangana,Constituency-066,District-12,School Infrastructure Project 0079,School Infrastructure,2026-03-16,2026-03-21,2026-03-21,35.12,35.37,2027-02-07,,Ongoing,AG020,V011,17.614776,78.177767,79.72516310981405,82.46772390969794,24.38224780177692,normal
MPL-0080,MP-345,Rajasthan,Constituency-113,District-25,Health Facility Project 0080,Health Facility,2026-01-26,2026-02-19,2026-02-19,80.0,74.96,2026-10-14,,Ongoing,AG025,V063,25.234776,76.587767,51.2685655910042,56.607209411775,38.90990305889492,normal
MPL-0081,MP-245,Gujarat,Constituency-040,District-26,School Infrastructure Project 0081,School Infrastructure,2026-01-13,2026-02-12,2026-02-12,39.51,38.13,2027-02-11,2026-12-05,Completed,AG027,V080,23.234776,72.727767,72.19996072036932,100.0,18.50926730658384,sudden_progress_jump
MPL-0082,MP-493,Tamil Nadu,Constituency-112,District-12,Sports Facility Project 0082,Sports Facility,2026-02-20,2026-03-14,2026-03-14,44.21,42.71,2026-12-16,,Ongoing,AG015,V060,12.696676,80.036567,43.91319952852293,36.3065496203059,24.364843198381596,normal
MPL-0083,MP-425,Bihar,Constituency-007,District-13,Community Hall Project 0083,Community Hall,2026-01-21,2026-02-11,2026-02-11,40.35,39.4,2026-10-18,2026-07-27,Completed,AG010,V011,24.816874,84.349314,80.70756952510021,70.72526805760026,28.86316444373576,normal
MPL-0084,MP-481,Karnataka,Constituency-058,District-20,Health Facility Project 0084,Health Facility,2026-03-18,2026-03-23,2026-03-23,68.42,67.84,2026-10-14,,Ongoing,AG008,V004,13.174776,77.577767,78.52593506151968,69.55312599148886,27.27480610627802,normal
MPL-0085,MP-065,Rajasthan,Constituency-015,District-27,School Infrastructure Project 0085,School Infrastructure,2026-04-26,2026-05-16,2026-05-16,16.01,15.24,2027-02-28,,Under Review,AG018,V078,26.014776,76.397767,51.5633157022421,40.61380352785683,7.20101488200531,normal
MPL-0086,MP-539,Bihar,Constituency-070,District-17,Sports Facility Project 0086,Sports Facility,2026-02-14,2026-03-16,2026-03-16,8.11,7.78,2026-12-30,2026-09-09,Completed,AG008,V019,25.384776,86.517767,66.38650438123358,58.507410440798,4.700317330698822,normal
MPL-0087,MP-046,Telangana,Constituency-046,District-18,Drainage Project 0087,Drainage,2026-03-22,2026-04-06,2026-04-06,61.81,59.29,2026-12-06,2026-10-17,Completed,AG002,V050,19.364776,79.527767,38.71577567580444,32.02054601228862,70.18974102509188,cost_overrun
MPL-0088,MP-528,Madhya Pradesh,Constituency-051,District-27,Drainage Project 0088,Drainage,2026-01-13,2026-02-04,2026-02-04,59.56,60.98,2026-08-19,2026-10-01,Completed,AG021,V024,22.964776,80.197767,37.03410846098767,29.469110303395087,40.81317510603476,normal
MPL-0089,MP-509,Rajasthan,Constituency-089,District-16,Sanitation Project 0089,Sanitation,2026-06-01,2026-06-17,2026-06-17,27.67,27.89,2027-03-08,2027-01-10,Completed,AG012,V007,25.764776,71.447767,59.0323260718715,55.83280511404966,13.472554998479508,normal
MPL-0090,MP-171,Karnataka,Constituency-089,District-15,Street Lighting Project 0090,Street Lighting,2026-05-19,2026-06-04,2026-06-04,47.27,45.16,2027-01-16,,Under Review,AG003,V056,14.804776,75.447767,39.40379010912474,41.94401298120375,18.62591701636094,normal
MPL-0091,MP-449,Tamil Nadu,Constituency-005,District-05,Sports Facility Project 0091,Sports Facility,2026-06-06,2026-06-13,2026-06-13,13.4,13.27,2026-12-24,,Ongoing,AG014,V036,11.679076,78.193767,54.98211218580403,60.60622364817176,8.095862745821496,normal
MPL-0092,MP-322,Tamil Nadu,Constituency-084,District-09,Street Lighting Project 0092,Street Lighting,2026-05-23,2026-06-04,2026-06-04,56.89,58.28,2027-01-09,,Under Review,AG019,V005,10.801776,79.185567,55.4607358158876,60.24859419545635,32.2975254578887,normal
MPL-0093,MP-205,Gujarat,Constituency-016,District-05,Drainage Project 0093,Drainage,2026-05-17,2026-05-24,2026-05-24,26.85,25.47,2026-12-20,,Under Review,AG017,V050,21.779276,72.199667,59.545021182308886,69.46505364971362,10.222530829735204,normal
MPL-0094,MP-371,Madhya Pradesh,Constituency-066,District-08,Community Hall Project 0094,Community Hall,2026-06-12,2026-06-20,2026-06-20,59.09,57.94,2027-03-15,,Ongoing,AG026,V041,24.594776,80.877767,50.96992555277975,45.56897247398799,19.3217026971696,normal
MPL-0095,MP-539,Rajasthan,Constituency-053,District-25,Drainage Project 0095,Drainage,2026-05-04,2026-05-22,2026-05-22,34.56,34.85,2027-04-13,,Under Review,AG001,V047,25.289993,76.540991,65.34058136595351,66.80344534360498,10.304943053852025,payment_milestone_issue
MPL-0096,MP-515,Tamil Nadu,Constituency-117,District-28,Community Hall Project 0096,Community Hall,2026-06-18,2026-06-24,2026-06-24,32.81,33.35,2027-05-02,,Under Review,AG015,V060,12.844776,79.747767,77.91446108610697,79.98992753217355,11.553789420127304,normal
MPL-0097,MP-311,Uttar Pradesh,Constituency-079,District-18,School Infrastructure Project 0097,School Infrastructure,2026-02-20,2026-02-27,2026-02-27,76.22,74.47,2026-11-22,2026-09-07,Completed,AG006,V042,27.884776,78.697767,50.62265706454481,40.35757496982568,26.36536009026938,normal
