project_id,estimated_cost_lakh,sanctioned_amount_lakh,expenditure_lakh,released_amount_lakh,remaining_amount_lakh,utilization_pct,cost_overrun_pct
MPL-0048,14.71,15.14,4.727571873524427,13.25,8.52,35.68,-67.86
MPL-0049,21.72,21.41,6.14465591631578,18.9,12.76,32.51,-71.71
MPL-0050,46.78,44.81,22.016615909347596,41.84,19.82,52.62,-52.94
MPL-0051,65.05,64.51,20.443897838663947,58.74,38.3,34.8,-68.57
MPL-0052,57.87,57.38,40.47879889961482,49.33,8.85,82.06,-30.05
MPL-0053,62.75,62.59,45.76730049741848,55.59,9.82,82.33,-27.06
MPL-0054,52.62,49.8,24.621590813091807,44.17,19.55,55.74,-53.21
MPL-0055,40.89,38.98,11.948392512985523,37.2,25.25,32.12,-70.78
MPL-0056,67.96,69.27,5.720419397072766,66.28,60.56,8.63,-91.58
MPL-0057,31.52,30.44,21.750114098787574,26.55,4.8,81.92,-31.0
MPL-0058,69.93,69.91,47.28932276254306,69.89,22.6,67.66,-32.38
MPL-0059,24.84,22.92,3.6007594050029783,20.4,16.8,17.65,-85.5
MPL-0060,35.98,34.57,18.539960920499134,34.45,15.91,53.82,-48.47
MPL-0061,40.02,37.86,16.835869810212724,34.52,17.68,48.77,-57.93
MPL-0062,64.65,61.21,17.528302550820776,52.33,34.8,33.5,-72.89
MPL-0063,26.05,24.47,6.310225069887786,22.07,15.76,28.59,-75.78
MPL-0064,64.02,62.51,55.8461953088135,59.08,3.23,94.53,-12.77
MPL-0065,18.68,17.44,10.942570727927642,16.6,5.66,65.92,-41.42
MPL-0066,32.4,31.42,14.96173029066123,29.21,14.25,51.22,-53.82
MPL-0067,48.44,48.13,36.039687711564646,44.14,8.1,81.65,-25.6
MPL-0068,34.46,34.59,24.141476026084394,32.27,8.13,74.81,-29.94
MPL-0069,55.33,51.33,15.32875859172788,48.19,32.86,31.81,-72.3
MPL-0070,62.32,57.68,27.38230121997351,49.73,22.35,55.06,-56.06
MPL-0071,11.27,10.86,0.9037424357774962,9.83,8.93,9.19,-91.98
MPL-0072,70.05,64.77,45.78709875827637,57.41,11.62,79.75,-34.64
MPL-0073,68.8,65.14,29.948528595710986,63.22,33.27,47.37,-56.47
MPL-0074,66.68,63.08,35.909643835246584,58.07,22.16,61.84,-46.15
MPL-0075,79.03,75.52,36.48177058177291,75.33,38.85,48.43,-53.84
MPL-0076,54.42,55.92,25.375137847960463,50.88,25.5,49.87,-53.37
MPL-0077,66.39,67.19,61.69367017232888,65.34,3.65,94.42,-7.07
MPL-0078,14.8,14.72,8.802250376539986,14.27,5.47,61.68,-40.53
MPL-0079,35.12,35.37,24.38224780177692,30.86,6.48,79.01,-30.57
MPL-0080,80.0,74.96,38.90990305889492,69.43,30.52,56.04,-51.36
MPL-0081,39.51,38.13,18.509267306583837,36.39,17.88,50.86,-53.15
MPL-0082,44.21,42.71,24.364843198381593,41.8,17.44,58.29,-44.89
MPL-0083,40.35,39.4,28.86316444373576,35.42,6.56,81.49,-28.47
MPL-0084,68.42,67.84,27.27480610627802,59.91,32.64,45.53,-60.14
MPL-0085,16.01,15.24,7.20101488200531,14.58,7.38,49.39,-55.02
MPL-0086,8.11,7.78,4.700317330698822,7.56,2.86,62.17,-42.04
MPL-0087,61.81,59.29,70.18974102509188,53.5,-16.69,131.2,13.56
MPL-0088,59.56,60.98,40.81317510603476,52.71,11.9,77.43,-31.48
MPL-0089,27.67,27.89,13.472554998479508,27.64,14.17,48.74,-51.31
MPL-0090,47.27,45.16,18.62591701636094,41.08,22.45,45.34,-60.6
MPL-0091,13.4,13.27,8.095862745821496,12.31,4.21,65.77,-39.58
MPL-0092,56.89,58.28,32.2975254578887,56.86,24.56,56.8,-43.23
MPL-0093,26.85,25.47,10.222530829735204,24.23,14.01,42.19,-61.93
MPL-0094,59.09,57.94,19.321702697169602,55.64,36.32,34.73,-67.3
MPL-0095,34.56,34.85,10.304943053852025,30.72,20.42,33.54,-70.18
MPL-0096,32.81,33.35,11.553789420127305,31.06,19.51,37.2,-64.79
MPL-0097,76.22,74.47,26.36536009026938,71.07,44.7,37.1,-65.41
MPL-0098,68.66,67.42,18.479468432288204,59.62,41.14,31.0,-73.09
MPL-0099,65.94,65.63,18.49150894629623,57.51,39.02,32.15,-71.96
MPL-0100,48.44,46.27,51.67196517809019,46.15,-5.52,111.97,6.67
MPL-0101,41.61,42.3,19.391096525636012,39.23,19.84,49.43,-53.4
MPL-0102,17.64,16.74,13.266529601861462,14.88,1.61,89.16,-24.79
MPL-0103,34.87,35.87,11.710181195698746,35.85,24.14,32.66,-66.42
MPL-0104,18.06,18.47,10.652484921907417,18.37,7.72,57.99,-41.02
MPL-0105,30.15,30.72,17.39864360310352,28.68,11.28,60.66,-42.29
MPL-0106,76.27,71.09,23.47808151404326,69.84,46.36,33.62,-69.22
MPL-0107,79.86,77.67,38.339595261939486,68.22,29.88,56.2,-51.99
MPL-0108,57.7,56.19,41.87712903187594,50.11,8.23,83.57,-27.42
MPL-0109,55.23,55.35,21.791313966171618,52.86,31.07,41.22,-60.54
MPL-0110,37.76,37.72,9.533585403992781,36.85,27.32,25.87,-74.75
MPL-0111,49.34,48.3,35.45276774742255,47.26,11.81,75.02,-28.15
MPL-0112,15.73,16.17,8.698639474131632,14.73,6.03,59.05,-44.7
MPL-0113,64.94,63.8,44.899737895502696,62.73,17.83,71.58,-30.86
MPL-0114,35.62,34.52,19.28646892614938,33.75,14.46,57.15,-45.85
MPL-0115,57.7,57.14,20.973242553060757,56.59,35.62,37.06,-63.65
MPL-0116,62.34,63.34,46.38715094644807,61.3,14.91,75.67,-25.59
MPL-0117,66.23,64.23,18.022969722826918,61.04,43.02,29.53,-72.79
MPL-0118,75.29,69.84,32.59429140273664,65.45,32.86,49.8,-56.71
MPL-0119,69.94,65.26,20.719655586896923,59.12,38.4,35.05,-70.38
MPL-0120,27.85,28.49,19.345377727986772,28.23,8.88,68.53,-30.54
MPL-0121,24.87,23.47,12.135510854561177,23.38,11.24,51.91,-51.2
MPL-0122,71.34,72.79,37.317905674457016,64.97,27.65,57.44,-47.69
MPL-0123,69.74,65.27,30.59329364407155,58.47,27.88,52.32,-56.13
MPL-0124,27.33,27.17,9.502070248961072,25.07,15.57,37.9,-65.23
MPL-0125,58.09,57.94,24.361218014073632,53.15,28.79,45.83,-58.06
MPL-0126,37.8,37.11,14.406483425938323,37.08,22.67,38.85,-61.89
MPL-0127,77.59,76.86,51.59896355760677,67.36,15.76,76.6,-33.5
MPL-0128,63.03,60.85,48.353852429998504,51.89,3.54,93.19,-23.28
MPL-0129,66.55,66.16,71.73374326101224,61.14,-10.59,117.33,7.79
MPL-0130,24.26,24.14,17.015227564348876,21.17,4.15,80.37,-29.86
MPL-0131,48.74,49.44,8.176489042172097,44.74,36.56,18.28,-83.22
MPL-0132,9.13,8.61,5.898523866179914,8.28,2.38,71.24,-35.39
MPL-0133,11.87,11.49,7.555513727299535,11.01,3.45,68.62,-36.35
MPL-0134,56.94,56.52,38.03622156436556,50.65,12.61,75.1,-33.2
MPL-0135,75.89,73.53,21.784551712387994,68.48,46.7,31.81,-71.29
MPL-0136,64.1,64.08,24.264118573537086,59.36,35.1,40.88,-62.15
MPL-0137,64.35,61.76,31.669002000762116,58.39,26.72,54.24,-50.79
MPL-0138,39.0,39.41,16.127781921678253,34.98,18.85,46.11,-58.65
MPL-0139,28.18,28.36,10.093154572159396,26.62,16.53,37.92,-64.18
MPL-0140,29.8,28.24,12.702496971743187,28.15,15.45,45.12,-57.37
MPL-0141,55.35,53.08,40.94125949312355,48.99,8.05,83.57,-26.03
MPL-0142,23.91,22.98,14.154112121312119,22.66,8.51,62.46,-40.8
MPL-0143,45.52,43.62,37.60723590662482,39.92,2.31,94.21,-17.38
MPL-0144,48.31,49.54,17.228002698730023,44.71,27.48,38.53,-64.34
MPL-0145,62.17,62.73,44.67310958690565,59.39,14.72,75.22,-28.14
MPL-0146,33.05,33.48,20.897339871969844,31.82,10.92,65.67,-36.77
MPL-0147,49.39,47.74,35.19179537107423,46.77,11.58,75.24,-28.75
MPL-0148,17.83,18.0,9.222012348645489,15.92,6.7,57.93,-48.28
MPL-0149,28.78,28.95,14.837340278798516,26.78,11.94,55.4,-48.45
MPL-0150,62.1,59.17,25.723908850845444,55.37,29.65,46.46,-58.58
MPL-0151,18.02,16.99,7.406488143326556,16.4,8.99,45.16,-58.9
MPL-0152,70.43,65.78,41.246643173019486,56.34,15.09,73.21,-41.44
MPL-0153,61.99,61.77,31.420149005017645,61.72,30.3,50.91,-49.31
MPL-0154,27.33,27.63,15.198028458059511,25.43,10.23,59.76,-44.39
MPL-0155,22.57,22.47,7.510778503491694,20.04,12.53,37.48,-66.72
MPL-0156,38.9,36.18,10.539506161643352,35.55,25.01,29.65,-72.91
MPL-0157,14.43,14.55,5.945207457337324,14.0,8.05,42.47,-58.8
MPL-0158,74.23,73.32,53.17124322918678,72.8,19.63,73.04,-28.37
MPL-0159,51.75,52.04,31.169610193392373,46.82,15.65,66.57,-39.77
MPL-0160,53.94,50.05,22.09117158907462,46.69,24.6,47.31,-59.04
MPL-0161,23.53,24.04,9.66019835858006,22.5,12.84,42.93,-58.95
MPL-0162,74.31,76.33,42.80675678595163,76.1,33.29,56.25,-42.39
MPL-0163,52.09,48.24,34.8423106190194,41.55,6.71,83.86,-33.11
MPL-0164,32.12,31.07,23.82375553400204,27.83,4.01,85.6,-25.83
MPL-0165,60.04,56.75,5.662931072145486,49.86,44.2,11.36,-90.57
MPL-0166,31.04,31.38,25.83059844416494,27.94,2.11,92.45,-16.78
MPL-0167,34.56,32.9,12.454937095593584,30.36,17.91,41.02,-63.96
MPL-0168,53.79,53.59,34.953137059982154,48.55,13.6,71.99,-35.02
MPL-0169,37.74,38.44,21.44215614566214,34.95,13.51,61.35,-43.18
MPL-0170,67.9,64.9,79.6409785991232,63.38,-16.26,125.66,17.29
MPL-0171,41.36,41.93,17.243039143155578,41.49,24.25,41.56,-58.31
MPL-0172,26.73,27.5,13.465832044020488,23.67,10.2,56.89,-49.62
MPL-0173,57.41,58.74,44.61597095549795,51.77,7.15,86.18,-22.29
MPL-0174,36.44,33.64,12.2382163965608,31.98,19.74,38.27,-66.42
MPL-0175,35.58,34.37,13.13100042234648,31.06,17.93,42.28,-63.09
MPL-0176,20.95,20.01,16.525988032445657,17.77,1.24,93.0,-21.12
MPL-0177,20.68,20.37,18.526754286675242,18.22,-0.31,101.68,-10.41
MPL-0178,9.43,9.17,6.2119053532279445,8.24,2.03,75.39,-34.13
MPL-0179,58.73,58.31,24.547326208901726,56.99,32.44,43.07,-58.2
MPL-0180,30.09,29.96,22.555616549308986,26.08,3.52,86.49,-25.04
MPL-0181,61.66,58.34,70.77004507394525,55.79,-14.98,126.85,14.77
MPL-0182,77.78,79.13,91.81315640830327,73.82,-17.99,124.37,18.04
MPL-0183,71.93,67.45,51.82601738133917,60.33,8.5,85.9,-27.95
MPL-0184,58.2,58.17,7.232280464001028,53.11,45.88,13.62,-87.57
MPL-0185,20.3,19.33,7.991549748866126,17.17,9.18,46.54,-60.63
MPL-0186,39.66,37.64,12.424936050210066,35.45,23.03,35.05,-68.67
MPL-0187,38.14,37.34,26.783106406548644,32.2,5.42,83.18,-29.78
MPL-0188,76.35,74.01,26.813955077764497,62.97,36.16,42.58,-64.88
MPL-0189,47.75,48.43,12.424852713384501,45.73,33.31,27.17,-73.98
MPL-0190,71.37,72.55,40.1326516051144,63.78,23.65,62.92,-43.77
MPL-0191,11.55,11.23,4.818445130044961,9.66,4.84,49.88,-58.28
MPL-0192,60.47,59.66,43.79756262077949,54.26,10.46,80.72,-27.57
MPL-0193,10.08,9.49,3.6273611673827277,8.14,4.51,44.56,-64.01
MPL-0194,40.12,41.15,17.795398649548368,40.45,22.65,43.99,-55.64
MPL-0195,27.37,26.41,22.43461654915248,22.56,0.13,99.44,-18.03
MPL-0196,26.14,25.39,29.64658665589964,23.79,-5.86,124.62,13.41
MPL-0197,59.2,60.28,39.52568194727947,55.2,15.67,71.6,-33.23
MPL-0198,61.04,60.07,25.94294367595271,57.11,31.17,45.43,-57.5
MPL-0199,60.21,59.1,42.95289383736265,53.14,10.19,80.83,-28.66
MPL-0200,41.88,42.52,12.234889371843291,37.13,24.9,32.95,-70.79
MPL-0201,18.31,18.58,7.920535215565801,18.53,10.61,42.74,-56.74
MPL-0202,39.23,37.94,9.578887952288897,37.02,27.44,25.87,-75.58
MPL-0203,15.39,15.01,4.1162032035826766,14.7,10.58,28.0,-73.25
MPL-0204,19.87,20.26,7.473717935097168,17.98,10.51,41.57,-62.39
MPL-0205,11.5,11.84,3.0838835332295638,10.13,7.05,30.44,-73.18
MPL-0206,55.7,52.9,64.29022865368822,47.37,-16.92,135.72,15.42
MPL-0207,29.27,27.06,20.147682726128295,25.18,5.03,80.01,-31.17
MPL-0208,60.1,61.27,47.05316684330149,55.08,8.03,85.43,-21.71
MPL-0209,55.76,52.35,30.33984704332708,51.0,20.66,59.49,-45.59
MPL-0210,65.59,65.02,48.887177748858065,57.92,9.03,84.4,-25.47
MPL-0211,16.13,15.57,6.485622944893671,15.49,9.0,41.87,-59.79
MPL-0212,72.23,71.32,36.94025199021416,65.51,28.57,56.39,-48.86
MPL-0213,35.26,35.61,41.47300537400635,34.77,-6.7,119.28,17.62
MPL-0214,53.9,54.87,26.984528235989604,48.24,21.26,55.94,-49.94
MPL-0215,62.67,59.19,45.052459753541065,53.96,8.91,83.49,-28.11
MPL-0216,16.69,16.92,5.939034124558176,16.16,10.22,36.75,-64.42
MPL-0217,77.4,71.24,34.151708074222114,62.03,27.88,55.06,-55.88
MPL-0218,73.95,74.24,56.7461290474214,64.58,7.83,87.87,-23.26
MPL-0219,22.46,22.21,13.467212688440968,22.11,8.64,60.91,-40.04
MPL-0220,59.13,58.79,42.038549920773505,56.27,14.23,74.71,-28.9
MPL-0221,26.04,26.36,19.51947459341381,22.57,3.05,86.48,-25.04
MPL-0222,77.54,71.8,51.01321642797676,65.33,14.32,78.09,-34.21
MPL-0223,77.43,73.74,25.74245615476258,67.47,41.73,38.15,-66.75
MPL-0224,19.07,18.22,10.499686741620788,17.52,7.02,59.93,-44.94
MPL-0225,47.1,45.42,27.32318551755621,40.32,13.0,67.77,-41.99
MPL-0226,77.04,76.66,57.559660052111475,67.28,9.72,85.55,-25.29
MPL-0227,13.93,12.96,6.902484151285532,11.17,4.27,61.79,-50.45
MPL-0228,59.61,55.09,49.7020500770821,50.37,0.67,98.67,-16.62
MPL-0229,11.28,11.43,4.6133011320830315,10.9,6.29,42.32,-59.1
MPL-0230,61.77,62.24,36.47539129308946,53.45,16.97,68.24,-40.95
MPL-0231,37.71,37.37,13.715448599889758,36.89,23.17,37.18,-63.63
MPL-0232,56.36,53.41,40.28802559085709,48.94,8.65,82.32,-28.52
MPL-0233,18.97,18.64,6.32602345614236,16.51,10.18,38.32,-66.65
MPL-0234,47.72,44.83,31.610450580244656,38.74,7.13,81.6,-33.76
MPL-0235,47.71,46.75,30.894949585294377,41.02,10.13,75.32,-35.24
MPL-0236,19.94,19.47,14.657352261597484,19.28,4.62,76.02,-26.49
MPL-0237,45.29,45.61,33.78081856764169,43.14,9.36,78.31,-25.41
MPL-0238,35.1,35.79,25.407009397649126,33.2,7.79,76.53,-27.62
MPL-0239,34.08,34.04,23.144527641043442,32.29,9.15,71.68,-32.09
MPL-0240,19.6,19.39,5.422090893155637,17.75,12.33,30.55,-72.34
MPL-0241,20.28,20.51,14.046072203972548,19.68,5.63,71.37,-30.74
MPL-0242,9.19,8.98,6.178711614893537,7.7,1.52,80.24,-32.77
MPL-0243,72.94,71.43,43.54633240535148,66.78,23.23,65.21,-40.3
MPL-0244,15.04,14.06,9.916492988240657,12.29,2.37,80.69,-34.07
MPL-0245,37.44,34.88,13.550549833755534,30.28,16.73,44.75,-63.81
MPL-0246,42.83,44.06,55.01688579060912,39.71,-15.31,138.55,28.45
MPL-0247,58.19,58.06,62.903686866463495,50.15,-12.75,125.43,8.1
MPL-0248,77.37,71.67,64.94389187093411,61.93,-3.01,104.87,-16.06
MPL-0249,78.25,72.74,44.001945145079766,65.23,21.23,67.46,-43.77
MPL-0250,77.36,73.52,54.60685763554875,73.29,18.68,74.51,-29.41
MPL-0251,57.98,59.5,38.761920043946816,52.14,13.38,74.34,-33.15
MPL-0252,76.79,75.01,90.3833385696949,63.95,-26.43,141.33,17.7
MPL-0253,70.84,66.78,38.58924749150141,64.41,25.82,59.91,-45.53
MPL-0254,70.55,68.71,3.919167710402806,66.72,62.8,5.87,-94.44
MPL-0255,57.62,53.09,22.429526162360297,47.88,25.45,46.85,-61.07
MPL-0256,62.16,59.68,32.99391794989693,54.89,21.9,60.11,-46.92
MPL-0257,20.72,20.2,10.58507667349888,19.14,8.55,55.3,-48.91
MPL-0258,14.93,14.96,8.160238512012432,12.82,4.66,63.65,-45.34
MPL-0259,56.47,54.98,24.849180251151278,54.56,29.71,45.54,-56.0
MPL-0260,30.82,29.34,11.552962225633747,28.84,17.29,40.06,-62.51
MPL-0261,36.59,34.05,9.483860770820039,30.28,20.8,31.32,-74.08
MPL-0262,53.11,49.63,29.861430100117747,42.3,12.44,70.59,-43.77
MPL-0263,61.92,62.94,33.54107779981452,62.31,28.77,53.83,-45.83
MPL-0264,32.76,31.83,23.93257852946407,29.45,5.52,81.27,-26.95
MPL-0265,25.99,25.95,21.365206221043717,24.16,2.79,88.43,-17.79
MPL-0266,27.59,27.27,7.534837303047667,25.98,18.45,29.0,-72.69
MPL-0267,32.62,31.13,15.432783655942659,29.34,13.91,52.6,-52.69
MPL-0268,16.78,16.86,8.173210386800704,16.72,8.55,48.88,-51.29
MPL-0269,53.3,49.28,18.936123477167985,48.87,29.93,38.75,-64.47
MPL-0270,16.61,16.72,11.122844189008791,16.39,5.27,67.86,-33.04
MPL-0271,54.41,54.25,20.252477323688968,51.29,31.04,39.49,-62.78
MPL-0272,39.5,37.62,13.1260756978246,36.5,23.37,35.96,-66.77
MPL-0273,47.0,45.59,29.124651909064575,43.38,14.26,67.14,-38.03
MPL-0274,52.14,49.82,37.16347078963486,46.63,9.47,79.7,-28.72
MPL-0275,26.43,25.38,4.204698312644341,22.06,17.86,19.06,-84.09
MPL-0276,46.09,46.13,16.81101905568532,44.82,28.01,37.51,-63.53
MPL-0277,63.17,62.12,76.54837432434734,60.45,-16.1,126.63,21.18
MPL-0278,63.02,60.96,10.387529132162292,57.54,47.15,18.05,-83.52
MPL-0279,29.62,27.97,19.177019604348267,27.22,8.04,70.45,-35.26
MPL-0280,25.99,24.64,2.2720535875009795,23.35,21.08,9.73,-91.26
MPL-0281,35.47,35.68,25.557228142116042,31.43,5.87,81.31,-27.95
MPL-0282,46.87,43.89,12.147676760715996,39.11,26.96,31.06,-74.08
MPL-0283,42.26,42.34,19.528026423898424,37.35,17.82,52.28,-53.79
MPL-0284,13.16,13.23,3.9357287131998553,11.99,8.05,32.83,-70.09
MPL-0285,18.5,17.11,7.667419072864019,14.64,6.97,52.37,-58.55
MPL-0286,41.93,40.11,21.643549867842665,37.81,16.17,57.24,-48.38
MPL-0287,22.45,22.37,19.072579838211976,20.14,1.07,94.7,-15.04
MPL-0288,46.27,43.52,35.94243132699497,41.27,5.33,87.09,-22.32
MPL-0289,26.55,25.56,19.180031023288162,23.2,4.02,82.67,-27.76
MPL-0290,38.71,36.94,11.814861159973852,35.18,23.37,33.58,-69.48
MPL-0291,12.88,12.6,8.75633132091331,11.35,2.59,77.15,-32.02
MPL-0292,21.3,21.38,2.9794980940647364,19.01,16.03,15.67,-86.01
MPL-0293,21.91,20.23,7.9508980239020906,18.7,10.75,42.52,-63.71
MPL-0294,63.89,63.05,28.933637157323602,60.15,31.22,48.1,-54.71
MPL-0295,35.89,36.04,17.40600647173404,32.52,15.11,53.52,-51.5
MPL-0296,44.05,41.4,22.339264687962082,41.01,18.67,54.47,-49.29
MPL-0297,73.32,73.88,22.940288010571116,63.23,40.29,36.28,-68.71
MPL-0298,73.68,72.37,51.416990705367745,66.05,14.63,77.85,-30.22
MPL-0299,52.82,50.07,38.43251383715104,49.83,11.4,77.13,-27.24
MPL-0300,21.31,19.73,5.2716391400666245,18.39,13.12,28.67,-75.26
MPL-0301,20.77,20.15,6.032042190792588,18.41,12.38,32.77,-70.96
MPL-0302,58.1,57.36,33.461452594867346,53.65,20.19,62.37,-42.41
MPL-0303,43.74,43.75,3.2883465481660625,40.97,37.68,8.03,-92.48
MPL-0304,48.35,47.87,19.11267925083974,45.94,26.83,41.6,-60.47
MPL-0305,67.91,63.93,32.21607771537423,55.56,23.34,57.98,-52.56
MPL-0306,29.55,29.54,10.645598885885274,26.22,15.57,40.6,-63.97
MPL-0307,50.85,51.62,42.29798998071142,48.37,6.07,87.45,-16.82
MPL-0308,39.95,36.86,12.930937310700386,36.13,23.2,35.79,-67.63
MPL-0309,59.38,58.04,35.644554156152246,54.23,18.59,65.73,-39.97
MPL-0310,31.1,29.27,31.738742037959984,25.93,-5.81,122.4,2.05
MPL-0311,49.33,46.31,41.709494279727664,44.09,2.38,94.6,-15.45
MPL-0312,30.5,30.8,16.408607979284067,29.6,13.19,55.43,-46.2
MPL-0313,76.22,71.33,31.57266616056061,63.18,31.61,49.97,-58.58
MPL-0314,51.52,48.12,32.3501915487141,43.63,11.28,74.15,-37.21
MPL-0315,32.53,32.84,15.787418358880462,30.55,14.76,51.68,-51.47
MPL-0316,47.97,48.47,59.968797201032096,44.81,-15.16,133.83,25.01
MPL-0317,18.74,18.34,6.4869186814492386,16.66,10.17,38.94,-65.38
MPL-0318,69.03,69.98,64.08343243158451,62.61,-1.47,102.35,-7.17
MPL-0319,23.21,21.8,15.193807907577348,18.86,3.67,80.56,-34.54
MPL-0320,78.2,73.11,51.60695726995941,62.73,11.12,82.27,-34.01
MPL-0321,49.61,50.26,23.508815512837757,49.95,26.44,47.06,-52.61
MPL-0322,45.22,44.21,25.82975041637473,43.2,17.37,59.79,-42.88
MPL-0323,38.31,39.29,10.558123027529096,35.49,24.93,29.75,-72.44
MPL-0324,17.13,15.9,9.164327725170184,15.8,6.64,58.0,-46.5
MPL-0325,78.85,80.93,56.160202960118355,77.01,20.85,72.93,-28.78
MPL-0326,20.07,19.34,12.547535979498862,17.84,5.29,70.33,-37.48
MPL-0327,76.82,71.5,49.867447623405795,66.06,16.19,75.49,-35.09
MPL-0328,32.29,32.16,19.50777313889618,27.74,8.23,70.32,-39.59
MPL-0329,14.62,14.96,11.276236860087542,12.92,1.64,87.28,-22.87
MPL-0330,26.24,25.49,18.837837921694618,23.97,5.13,78.59,-28.21
MPL-0331,13.0,13.36,15.689254491398362,12.47,-3.22,125.82,20.69
MPL-0332,63.96,58.98,44.253961762597044,52.02,7.77,85.07,-30.81
MPL-0333,66.89,65.09,28.65435675545263,64.56,35.91,44.38,-57.16
MPL-0334,22.62,22.19,9.06242446849244,21.46,12.4,42.23,-59.94
MPL-0335,35.99,36.25,27.601675766170274,31.43,3.83,87.82,-23.31
MPL-0336,70.65,69.17,19.93325431010752,68.45,48.52,29.12,-71.79
MPL-0337,40.85,38.35,11.748734810849719,38.2,26.45,30.76,-71.24
MPL-0338,31.15,31.96,27.853460150951644,31.94,4.09,87.21,-10.58
MPL-0339,9.13,8.89,2.6425067806076465,7.63,4.99,34.63,-71.06
MPL-0340,10.71,10.07,5.864884576803637,9.67,3.81,60.65,-45.24
MPL-0341,41.42,40.96,12.686128531556662,38.17,25.48,33.24,-69.37
MPL-0342,52.41,53.35,14.820736014857268,51.0,36.18,29.06,-71.72
MPL-0343,61.79,62.95,4.783838545327405,62.65,57.87,7.64,-92.26
MPL-0344,17.82,17.81,21.536001992036592,16.98,-4.56,126.83,20.85
