progress_id,project_id,update_date,milestone,planned_progress_pct,physical_progress_pct,financial_progress_pct,remarks
PR-00084,MPL-0018,2026-02-28,Foundation,10.69,9.91,8.04,Routine progress update
PR-00085,MPL-0018,2026-04-14,Execution,16.04,17.1,12.06,Routine progress update
PR-00086,MPL-0018,2026-05-29,Finishing,21.39,18.76,16.08,Routine progress update
PR-00087,MPL-0018,2026-07-13,Inspection,26.73,26.93,20.1,Routine progress update
PR-00088,MPL-0018,2026-08-27,Completion,32.08,21.34,24.12,Routine progress update
PR-00089,MPL-0018,2026-10-11,Completion,37.42,29.77,28.14,Routine progress update
PR-00090,MPL-0019,2026-05-30,Planning,7.42,0.0,9.6,Routine progress update
PR-00091,MPL-0019,2026-07-14,Foundation,14.84,25.05,19.2,Routine progress update
PR-00092,MPL-0019,2026-08-28,Execution,22.27,33.54,28.8,Routine progress update
PR-00093,MPL-0019,2026-10-12,Finishing,29.69,36.64,38.4,Routine progress update
PR-00094,MPL-0019,2026-11-26,Inspection,37.11,38.62,48.0,Routine progress update
PR-00095,MPL-0019,2027-01-10,Completion,44.53,60.76,57.6,Routine progress update
PR-00096,MPL-0019,2027-02-24,Completion,51.95,57.31,67.19,Routine progress update
PR-00097,MPL-0020,2026-03-02,Planning,20.87,17.15,74.44,Routine progress update
PR-00098,MPL-0020,2026-04-16,Foundation,41.74,36.65,100.0,Routine progress update
PR-00099,MPL-0020,2026-05-31,Execution,62.61,55.82,100.0,Routine progress update
PR-00100,MPL-0020,2026-07-15,Finishing,83.48,74.6,100.0,Routine progress update
PR-00101,MPL-0021,2026-04-28,Planning,6.79,7.88,5.03,Routine progress update
PR-00102,MPL-0021,2026-06-12,Foundation,13.58,9.72,10.07,Routine progress update
PR-00103,MPL-0021,2026-07-27,Execution,20.36,18.12,15.1,Routine progress update
PR-00104,MPL-0021,2026-09-10,Finishing,27.15,19.84,20.13,Routine progress update
PR-00105,MPL-0021,2026-10-25,Inspection,33.94,28.06,25.17,Routine progress update
PR-00106,MPL-0021,2026-12-09,Completion,40.73,32.88,30.2,Routine progress update
PR-00107,MPL-0021,2027-01-23,Completion,47.52,39.09,35.24,Routine progress update
PR-00108,MPL-0022,2026-03-08,Planning,7.42,10.2,14.12,Routine progress update
PR-00109,MPL-0022,2026-04-22,Foundation,14.84,13.52,28.25,Routine progress update
PR-00110,MPL-0022,2026-06-06,Execution,22.26,24.77,42.37,Routine progress update
PR-00111,MPL-0022,2026-07-21,Finishing,29.68,33.2,56.49,Routine progress update
PR-00112,MPL-0022,2026-09-04,Inspection,37.1,33.06,70.61,Routine progress update
PR-00113,MPL-0023,2026-06-25,Planning,9.17,7.57,15.06,Routine progress update
PR-00114,MPL-0023,2026-08-09,Foundation,18.33,19.76,30.12,Routine progress update
PR-00115,MPL-0023,2026-09-23,Execution,27.5,32.83,45.17,Routine progress update
PR-00116,MPL-0023,2026-11-07,Finishing,36.67,37.96,60.23,Routine progress update
PR-00117,MPL-0023,2026-12-22,Inspection,45.84,50.41,75.29,Routine progress update
PR-00118,MPL-0024,2026-05-22,Planning,13.96,13.48,2.54,Routine progress update
PR-00119,MPL-0024,2026-07-06,Foundation,27.93,31.16,5.07,Routine progress update
PR-00120,MPL-0024,2026-08-20,Execution,41.89,48.46,7.61,Routine progress update
PR-00121,MPL-0024,2026-10-04,Finishing,55.85,51.01,10.15,Routine progress update
PR-00122,MPL-0025,2026-06-22,Planning,12.54,20.33,8.56,Routine progress update
PR-00123,MPL-0025,2026-08-06,Foundation,25.08,21.13,17.12,Routine progress update
PR-00124,MPL-0025,2026-09-20,Execution,37.62,46.84,25.68,Routine progress update
PR-00125,MPL-0025,2026-11-04,Finishing,50.17,59.89,34.24,Routine progress update
PR-00126,MPL-0025,2026-12-19,Inspection,62.71,62.07,42.8,Routine progress update
PR-00127,MPL-0025,2027-02-02,Completion,75.25,76.56,51.36,Routine progress update
PR-00128,MPL-0025,2027-03-19,Completion,87.79,100.0,59.92,Routine progress update
PR-00129,MPL-0026,2026-01-19,Planning,7.62,8.17,0.85,Routine progress update
PR-00130,MPL-0026,2026-03-05,Foundation,15.23,3.09,1.69,Routine progress update
PR-00131,MPL-0026,2026-04-19,Execution,22.85,6.39,2.54,Routine progress update
PR-00132,MPL-0026,2026-06-03,Finishing,30.46,15.28,3.38,Routine progress update
PR-00133,MPL-0026,2026-07-18,Inspection,38.08,16.48,4.23,Routine progress update
PR-00134,MPL-0026,2026-09-01,Completion,45.69,24.06,5.07,Routine progress update
PR-00135,MPL-0027,2026-04-27,Planning,29.78,32.06,25.12,Routine progress update
PR-00136,MPL-0027,2026-06-11,Foundation,59.56,66.62,50.23,Routine progress update
PR-00137,MPL-0027,2026-07-26,Execution,89.33,94.31,75.35,Routine progress update
PR-00138,MPL-0028,2026-05-05,Planning,10.61,12.51,6.11,Routine progress update
PR-00139,MPL-0028,2026-06-19,Foundation,21.21,17.85,12.23,Routine progress update
PR-00140,MPL-0028,2026-08-03,Execution,31.82,27.19,18.34,Routine progress update
PR-00141,MPL-0028,2026-09-17,Finishing,42.43,38.31,24.46,Routine progress update
PR-00142,MPL-0028,2026-11-01,Inspection,53.03,55.51,30.57,Routine progress update
PR-00143,MPL-0028,2026-12-16,Completion,63.64,56.15,36.69,Routine progress update
PR-00144,MPL-0028,2027-01-30,Completion,74.24,68.45,42.8,Routine progress update
PR-00145,MPL-0029,2026-05-19,Planning,11.62,4.22,11.19,Routine progress update
PR-00146,MPL-0029,2026-07-03,Foundation,23.24,29.11,22.38,Routine progress update
PR-00147,MPL-0029,2026-08-17,Execution,34.86,48.64,33.57,Routine progress update
PR-00148,MPL-0029,2026-10-01,Finishing,46.49,49.08,44.76,Routine progress update
PR-00149,MPL-0029,2026-11-15,Inspection,58.11,78.71,55.96,Routine progress update
PR-00150,MPL-0030,2026-06-04,Planning,12.34,12.38,12.09,Routine progress update
PR-00151,MPL-0030,2026-07-19,Foundation,24.68,13.01,24.18,Routine progress update
PR-00152,MPL-0030,2026-09-02,Execution,37.03,33.42,36.27,Routine progress update
PR-00153,MPL-0030,2026-10-17,Finishing,49.37,51.93,48.36,Routine progress update
PR-00154,MPL-0030,2026-12-01,Inspection,61.71,66.26,60.45,Routine progress update
PR-00155,MPL-0031,2026-01-22,Planning,7.5,9.33,7.06,Routine progress update
PR-00156,MPL-0031,2026-03-08,Foundation,15.0,19.18,14.12,Routine progress update
PR-00157,MPL-0031,2026-04-22,Execution,22.5,14.65,21.17,Routine progress update
PR-00158,MPL-0031,2026-06-06,Finishing,30.0,23.09,28.23,Routine progress update
PR-00159,MPL-0031,2026-07-21,Inspection,37.5,25.55,35.29,Routine progress update
PR-00160,MPL-0031,2026-09-04,Completion,45.0,36.3,42.35,Routine progress update
PR-00161,MPL-0032,2026-02-27,Planning,9.3,9.52,9.53,Routine progress update
PR-00162,MPL-0032,2026-04-13,Foundation,18.61,13.8,19.05,Routine progress update
PR-00163,MPL-0032,2026-05-28,Execution,27.91,22.89,28.58,Routine progress update
PR-00164,MPL-0032,2026-07-12,Finishing,37.21,22.15,38.11,Routine progress update
PR-00165,MPL-0033,2026-02-12,Planning,6.88,4.39,17.6,Routine progress update
PR-00166,MPL-0033,2026-03-29,Foundation,13.77,16.59,35.2,Routine progress update
PR-00167,MPL-0033,2026-05-13,Execution,20.65,21.25,52.8,Routine progress update
PR-00168,MPL-0033,2026-06-27,Finishing,27.53,36.76,70.39,Routine progress update
PR-00169,MPL-0033,2026-08-11,Inspection,34.42,36.93,87.99,Routine progress update
PR-00170,MPL-0033,2026-09-25,Completion,41.3,45.34,100.0,Routine progress update
PR-00171,MPL-0034,2026-06-25,Planning,11.02,10.85,8.87,Routine progress update
PR-00172,MPL-0034,2026-08-09,Foundation,22.04,16.79,17.75,Routine progress update
PR-00173,MPL-0034,2026-09-23,Execution,33.06,22.58,26.62,Routine progress update
PR-00174,MPL-0034,2026-11-07,Finishing,44.08,32.29,35.49,Routine progress update
PR-00175,MPL-0034,2026-12-22,Inspection,55.11,48.01,44.36,Routine progress update
PR-00176,MPL-0034,2027-02-05,Completion,66.13,49.59,53.24,Routine progress update
PR-00177,MPL-0035,2026-02-09,Planning,23.59,29.7,24.58,Routine progress update
PR-00178,MPL-0035,2026-03-26,Foundation,47.18,45.46,49.16,Routine progress update
PR-00179,MPL-0035,2026-05-10,Execution,70.78,74.79,73.74,Routine progress update
PR-00180,MPL-0036,2026-03-04,Planning,10.7,7.95,8.45,Routine progress update
PR-00181,MPL-0036,2026-04-18,Foundation,21.4,17.29,16.89,Routine progress update
PR-00182,MPL-0036,2026-06-02,Execution,32.1,32.41,25.34,Routine progress update
PR-00183,MPL-0036,2026-07-17,Finishing,42.8,46.11,33.78,Routine progress update
PR-00184,MPL-0036,2026-08-31,Inspection,53.5,51.39,42.23,Routine progress update
PR-00185,MPL-0037,2026-03-03,Planning,8.04,7.52,10.45,Routine progress update
PR-00186,MPL-0037,2026-04-17,Foundation,16.07,18.79,20.91,Routine progress update
PR-00187,MPL-0037,2026-06-01,Execution,24.11,26.71,31.36,Routine progress update
PR-00188,MPL-0037,2026-07-16,Finishing,32.15,30.97,41.82,Routine progress update
PR-00189,MPL-0037,2026-08-30,Inspection,40.18,37.14,52.27,Routine progress update
PR-00190,MPL-0037,2026-10-14,Completion,48.22,47.02,62.73,Routine progress update
PR-00191,MPL-0038,2026-05-16,Planning,13.3,19.39,9.84,Routine progress update
PR-00192,MPL-0038,2026-06-30,Foundation,26.6,41.56,19.68,Routine progress update
PR-00193,MPL-0038,2026-08-14,Execution,39.9,55.68,29.52,Routine progress update
PR-00194,MPL-0038,2026-09-28,Finishing,53.19,81.72,39.36,Routine progress update
PR-00195,MPL-0039,2026-03-12,Planning,9.69,11.41,9.88,Routine progress update
PR-00196,MPL-0039,2026-04-26,Foundation,19.38,32.19,19.75,Routine progress update
PR-00197,MPL-0039,2026-06-10,Execution,29.07,40.17,29.63,Routine progress update
PR-00198,MPL-0039,2026-07-25,Finishing,38.76,54.52,39.5,Routine progress update
PR-00199,MPL-0039,2026-09-08,Inspection,48.45,73.21,49.38,Routine progress update
PR-00200,MPL-0039,2026-10-23,Completion,58.13,85.77,59.25,Routine progress update
PR-00201,MPL-0039,2026-12-07,Completion,67.82,100.0,69.13,Routine progress update
PR-00202,MPL-0040,2026-05-27,Planning,11.29,2.05,18.72,Routine progress update
PR-00203,MPL-0040,2026-07-11,Foundation,22.57,17.57,37.44,Routine progress update
PR-00204,MPL-0040,2026-08-25,Execution,33.86,30.22,56.16,Routine progress update
PR-00205,MPL-0040,2026-10-09,Finishing,45.14,31.96,74.88,Routine progress update
PR-00206,MPL-0041,2026-03-05,Planning,22.6,19.49,22.04,Routine progress update
PR-00207,MPL-0041,2026-04-19,Foundation,45.19,42.78,44.07,Routine progress update
PR-00208,MPL-0041,2026-06-03,Execution,67.79,62.94,66.11,Routine progress update
PR-00209,MPL-0042,2026-06-10,Planning,9.64,15.07,6.66,Routine progress update
PR-00210,MPL-0042,2026-07-25,Foundation,19.28,18.02,13.32,Routine progress update
PR-00211,MPL-0042,2026-09-08,Execution,28.92,27.21,19.98,Routine progress update
PR-00212,MPL-0042,2026-10-23,Finishing,38.55,30.17,26.64,Routine progress update
PR-00213,MPL-0042,2026-12-07,Inspection,48.19,42.6,33.3,Routine progress update
PR-00214,MPL-0043,2026-03-09,Planning,11.47,10.02,9.23,Routine progress update
PR-00215,MPL-0043,2026-04-23,Foundation,22.94,9.53,18.46,Routine progress update
PR-00216,MPL-0043,2026-06-07,Execution,34.41,17.15,27.69,Routine progress update
PR-00217,MPL-0043,2026-07-22,Finishing,45.88,20.8,36.91,Routine progress update
PR-00218,MPL-0044,2026-04-30,Planning,9.99,5.97,9.64,Routine progress update
PR-00219,MPL-0044,2026-06-14,Foundation,19.99,29.66,19.28,Routine progress update
PR-00220,MPL-0044,2026-07-29,Execution,29.98,37.71,28.92,Routine progress update
PR-00221,MPL-0044,2026-09-12,Finishing,39.98,37.63,38.56,Routine progress update
PR-00222,MPL-0044,2026-10-27,Inspection,49.97,35.58,48.2,Routine progress update
PR-00223,MPL-0045,2026-05-28,Planning,9.08,7.33,5.68,Routine progress update
PR-00224,MPL-0045,2026-07-12,Foundation,18.16,18.46,11.35,Routine progress update
PR-00225,MPL-0045,2026-08-26,Execution,27.23,23.99,17.03,Routine progress update
PR-00226,MPL-0045,2026-10-10,Finishing,36.31,34.13,22.71,Routine progress update
PR-00227,MPL-0045,2026-11-24,Inspection,45.39,40.45,28.39,Routine progress update
PR-00228,MPL-0045,2027-01-08,Completion,54.47,56.21,34.06,Routine progress update
PR-00229,MPL-0045,2027-02-22,Completion,63.54,61.53,39.74,Routine progress update
PR-00230,MPL-0046,2026-06-27,Planning,11.39,15.21,7.02,Routine progress update
PR-00231,MPL-0046,2026-08-11,Foundation,22.78,27.7,14.03,Routine progress update
PR-00232,MPL-0046,2026-09-25,Execution,34.18,25.52,21.05,Routine progress update
PR-00233,MPL-0046,2026-11-09,Finishing,45.57,42.55,28.06,Routine progress update
PR-00234,MPL-0046,2026-12-24,Inspection,56.96,54.54,35.08,Routine progress update
PR-00235,MPL-0046,2027-02-07,Completion,68.35,78.73,42.09,Routine progress update
PR-00236,MPL-0046,2027-03-24,Completion,79.75,80.44,49.11,Routine progress update
PR-00237,MPL-0047,2026-04-03,Planning,10.97,13.15,7.73,Routine progress update
PR-00238,MPL-0047,2026-05-18,Foundation,21.94,12.27,15.46,Routine progress update
PR-00239,MPL-0047,2026-07-02,Execution,32.91,30.26,23.19,Routine progress update
PR-00240,MPL-0047,2026-08-16,Finishing,43.89,43.5,30.92,Routine progress update
PR-00241,MPL-0047,2026-09-30,Inspection,54.86,52.93,38.65,Routine progress update
PR-00242,MPL-0047,2026-11-14,Completion,65.83,61.87,46.38,Routine progress update
PR-00243,MPL-0047,2026-12-29,Completion,76.8,69.33,54.11,Routine progress update
PR-00244,MPL-0048,2026-05-22,Planning,21.3,21.09,7.81,Routine progress update
PR-00245,MPL-0048,2026-07-06,Foundation,42.61,34.91,15.61,Routine progress update
PR-00246,MPL-0048,2026-08-20,Execution,63.91,58.92,23.42,Routine progress update
PR-00247,MPL-0048,2026-10-04,Finishing,85.21,84.29,31.23,Routine progress update
PR-00248,MPL-0049,2026-02-07,Planning,12.67,8.31,4.78,Routine progress update
PR-00249,MPL-0049,2026-03-24,Foundation,25.35,25.11,9.57,Routine progress update
PR-00250,MPL-0049,2026-05-08,Execution,38.02,35.39,14.35,Routine progress update
PR-00251,MPL-0049,2026-06-22,Finishing,50.7,50.17,19.13,Routine progress update
PR-00252,MPL-0049,2026-08-06,Inspection,63.37,59.71,23.92,Routine progress update
PR-00253,MPL-0049,2026-09-20,Completion,76.05,67.96,28.7,Routine progress update
PR-00254,MPL-0050,2026-02-08,Planning,16.34,19.32,12.28,Routine progress update
PR-00255,MPL-0050,2026-03-25,Foundation,32.68,36.68,24.57,Routine progress update
PR-00256,MPL-0050,2026-05-09,Execution,49.02,46.95,36.85,Routine progress update
PR-00257,MPL-0050,2026-06-23,Finishing,65.36,63.99,49.13,Routine progress update
PR-00258,MPL-0051,2026-04-09,Planning,8.67,10.13,6.34,Routine progress update
PR-00259,MPL-0051,2026-05-24,Foundation,17.35,19.13,12.68,Routine progress update
PR-00260,MPL-0051,2026-07-08,Execution,26.02,35.62,19.01,Routine progress update
PR-00261,MPL-0051,2026-08-22,Finishing,34.69,39.56,25.35,Routine progress update
PR-00262,MPL-0051,2026-10-06,Inspection,43.37,57.6,31.69,Routine progress update
PR-00263,MPL-0052,2026-03-28,Planning,13.64,13.3,11.76,Routine progress update
PR-00264,MPL-0052,2026-05-12,Foundation,27.28,31.42,23.52,Routine progress update
PR-00265,MPL-0052,2026-06-26,Execution,40.92,44.96,35.27,Routine progress update
PR-00266,MPL-0052,2026-08-10,Finishing,54.56,55.16,47.03,Routine progress update
PR-00267,MPL-0052,2026-09-24,Inspection,68.21,73.75,58.79,Routine progress update
PR-00268,MPL-0052,2026-11-08,Completion,81.85,89.93,70.55,Routine progress update
PR-00269,MPL-0053,2026-04-22,Planning,6.75,3.49,12.19,Routine progress update
PR-00270,MPL-0053,2026-06-06,Foundation,13.51,2.12,24.37,Routine progress update
PR-00271,MPL-0053,2026-07-21,Execution,20.26,18.04,36.56,Routine progress update
PR-00272,MPL-0053,2026-09-04,Finishing,27.02,15.32,48.75,Routine progress update
PR-00273,MPL-0053,2026-10-19,Inspection,33.77,15.54,60.94,Routine progress update
PR-00274,MPL-0053,2026-12-03,Completion,40.53,28.94,73.12,Routine progress update
PR-00275,MPL-0054,2026-06-06,Planning,28.4,35.8,16.48,Routine progress update
PR-00276,MPL-0054,2026-07-21,Foundation,56.8,61.87,32.96,Routine progress update
PR-00277,MPL-0054,2026-09-04,Execution,85.21,95.82,49.44,Routine progress update
PR-00278,MPL-0055,2026-06-26,Planning,12.85,12.93,4.38,Routine progress update
PR-00279,MPL-0055,2026-08-10,Foundation,25.7,28.83,8.76,Routine progress update
PR-00280,MPL-0055,2026-09-24,Execution,38.56,43.95,13.14,Routine progress update
PR-00281,MPL-0055,2026-11-08,Finishing,51.41,59.08,17.52,Routine progress update
PR-00282,MPL-0055,2026-12-23,Inspection,64.26,71.26,21.89,Routine progress update
PR-00283,MPL-0055,2027-02-06,Completion,77.11,88.31,26.27,Routine progress update
PR-00284,MPL-0055,2027-03-23,Completion,89.97,97.25,30.65,Routine progress update
PR-00285,MPL-0056,2026-06-05,Planning,19.42,0.17,2.06,Routine progress update
PR-00286,MPL-0056,2026-07-20,Foundation,38.83,6.41,4.13,Routine progress update
PR-00287,MPL-0056,2026-09-03,Execution,58.25,9.36,6.19,Routine progress update
PR-00288,MPL-0056,2026-10-18,Finishing,77.67,2.54,8.26,Routine progress update
PR-00289,MPL-0057,2026-01-24,Planning,15.35,14.87,23.82,Routine progress update
PR-00290,MPL-0057,2026-03-10,Foundation,30.7,35.49,47.63,Routine progress update
PR-00291,MPL-0057,2026-04-24,Execution,46.04,49.65,71.45,Routine progress update
PR-00292,MPL-0058,2026-02-06,Planning,17.78,17.05,13.53,Routine progress update
PR-00293,MPL-0058,2026-03-23,Foundation,35.56,42.92,27.06,Routine progress update
PR-00294,MPL-0058,2026-05-07,Execution,53.34,55.24,40.59,Routine progress update
PR-00295,MPL-0058,2026-06-21,Finishing,71.12,81.39,54.11,Routine progress update
PR-00296,MPL-0058,2026-08-05,Inspection,88.9,92.85,67.64,Routine progress update
PR-00297,MPL-0059,2026-01-28,Planning,27.88,14.69,5.24,Routine progress update
PR-00298,MPL-0059,2026-03-14,Foundation,55.76,6.44,10.47,Routine progress update
PR-00299,MPL-0059,2026-04-28,Execution,83.63,9.66,15.71,Routine progress update
PR-00300,MPL-0060,2026-05-18,Planning,12.46,17.51,7.66,Routine progress update
PR-00301,MPL-0060,2026-07-02,Foundation,24.92,24.19,15.32,Routine progress update
PR-00302,MPL-0060,2026-08-16,Execution,37.38,44.62,22.98,Routine progress update
PR-00303,MPL-0060,2026-09-30,Finishing,49.84,53.22,30.65,Routine progress update
PR-00304,MPL-0060,2026-11-14,Inspection,62.3,64.2,38.31,Routine progress update
PR-00305,MPL-0060,2026-12-29,Completion,74.76,76.7,45.97,Routine progress update
PR-00306,MPL-0060,2027-02-12,Completion,87.22,95.37,53.63,Routine progress update
PR-00307,MPL-0061,2026-02-25,Planning,18.32,22.43,14.82,Routine progress update
PR-00308,MPL-0061,2026-04-11,Foundation,36.63,44.75,29.65,Routine progress update
PR-00309,MPL-0061,2026-05-26,Execution,54.95,66.69,44.47,Routine progress update
PR-00310,MPL-0062,2026-01-06,Planning,5.99,6.58,4.09,Routine progress update
PR-00311,MPL-0062,2026-02-20,Foundation,11.98,14.18,8.18,Routine progress update
PR-00312,MPL-0062,2026-04-06,Execution,17.97,17.68,12.27,Routine progress update
PR-00313,MPL-0062,2026-05-21,Finishing,23.96,24.0,16.36,Routine progress update
PR-00314,MPL-0062,2026-07-05,Inspection,29.95,25.77,20.45,Routine progress update
PR-00315,MPL-0062,2026-08-19,Completion,35.94,37.49,24.55,Routine progress update
PR-00316,MPL-0062,2026-10-03,Completion,41.93,35.47,28.64,Routine progress update
PR-00317,MPL-0063,2026-02-03,Planning,11.89,11.12,4.3,Routine progress update
PR-00318,MPL-0063,2026-03-20,Foundation,23.79,18.85,8.6,Routine progress update
PR-00319,MPL-0063,2026-05-04,Execution,35.68,31.46,12.89,Routine progress update
